Nama,Category,Place,Price,Rating,Comment,Link_gmaps,Images,
Kahyangan Jagat,Heritage and Culture,Tabanan,0,4.7,137,https://goo.gl/maps/46o12BCvTDjZruf16,https://i0.wp.com/www.mantrahindu.com/wp-content/uploads/2016/04/pura-besakih.jpg?fit=4320%2C2880&ssl=1,
Yadnya Museum,Heritage and Culture,Badung,0,4.7,14,https://goo.gl/maps/ae3czmWcYeVEkeuM9,https://indonesiakaya.com/wp-content/uploads/2020/10/7__IMG_7743_Sejumlah_koleksi_ogoh-ogoh_yang_merupakan_bagian_dari_perangkat_dari_ritual_bhuta_yadnya_2.jpg,
Tegallingah Cliff Temple,Heritage and Culture,Gianyar,0,4.6,14,https://goo.gl/maps/sLC6e3hTNQJGXYkz6,https://balitripholidays.files.wordpress.com/2016/02/6.jpg,
Bajra Sandhi Monument,Heritage and Culture,Denpasar,0,4.6,12047,https://goo.gl/maps/RK5iLNcBxvkMcVeZ9,https://asset.kompas.com/crops/0kZ_Ah3oLQiKbkJ5qKbxLQfgIXA=/0x51:1000x717/750x500/data/photo/2020/02/26/5e563a3db63aa.jpg,
Kereban Langit,Heritage and Culture,Badung,0,4.7,200,https://goo.gl/maps/BsyR4Arbc8RxUyDy6,http://www.balitoursclub.net/wp-content/uploads/2017/09/Pura-Kereban-Langit-di-dalam-goa.jpg,
Nama,Category,Place,Price,Ratings,Comment,Link Gmaps,Images,Contact Person
Bali Exotic Marine Park,Nature,Tabanan,500000,4.7,267,https://g.page/balimarinepark?share,https://lh5.googleusercontent.com/p/AF1QipMpbms8y-Hx6k85FLl9-Xf6ds3Dn7BxxdeLltJ8=w360-h240-k-no,(0361)8468883
Bali Zoo,Nature,Gianyar,100000,4.4,1316,https://g.page/balizoo?share,https://lh5.googleusercontent.com/p/AF1QipPM0Sta1NfZaCHOz0PKEXXBZ2_ap5gnP4LzLOnh=w122-h92-k-no,(0316)294357
Bali Bird Park,Nature,Gianyar,100000,4.6,9112,https://g.page/balibirdparkofficial?share,https://lh5.googleusercontent.com/p/AF1QipNyW1-y75spQLV2hc_BBIE65x96lIT0y9Xy5RxS=w122-h92-k-no,(0361)299352
Bali Safari & Marine Park,Nature,Gianyar,155000,4.4,155120,https://goo.gl/maps/MB676RFfC4WKnBrp6,https://lh5.googleusercontent.com/p/AF1QipMKDijiTwFXPk-Ep7wjY6C28QXxM1bS-p5F8zrB=w122-h92-k-no,0812 3969 077
Turtel Park,Nature,Badung,200000,4,216,https://goo.gl/maps/U8KBDYjJjosgSKxa6,https://lh5.googleusercontent.com/p/AF1QipOO43kPiYSPW2wgRNU87XLp40B6V1DUVz4_2LwA=w189-h92-k-no,0855 3902 086
Bali Butterfly Park,Nature,Tabanan,150000,4.3,1009,https://g.page/balibutterflypark?share,https://lh5.googleusercontent.com/p/AF1QipPMELR-5Dnmkmnha19zA6GPPAcq8nRZ3qdfx0eq=w80-h100-k-no,08786 3075 006
Hidden Mini Zoo Bali,Nature,Gianyar,100000,4.6,152,https://g.page/hiddenminizoo?share,https://lh5.googleusercontent.com/p/AF1QipPT7Rdq7udiww_6rb2jdgSw6js3xPdZmeEsITjP=w80-h106-k-no,0851 2933 0025
